Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
27,571,,551,Mar del Plata,-57.5424318,-38.0130341,"Alsina & Rawson, Mar del Plata, Provincia de Buenos Aires, Argentina"
28,571,,379,Mar del Plata,-57.5323329,-38.0214616,"Bernardo de Irigoyen & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
29,571,,378,Mar del Plata,-57.5374419,-38.0277994,"Matheu 302, Mar del Plata, Provincia de Buenos Aires, Argentina"
30,571,,371,Mar del Plata,-57.5389864,-38.0315096,"Avenida Juan José Paso & Leandro N. Alem, Mar del Plata, Provincia de Buenos Aires, Argentina"
31,571,,369,Mar del Plata,-57.5429809,-38.0364073,"Leandro N. Alem & Martín Rodríguez, Mar del Plata, Provincia de Buenos Aires, Argentina"
32,571,,358,Mar del Plata,-57.5449921,-38.0388014,"Avenida Juan B. Justo & Avenida Edison, Mar del Plata, Provincia de Buenos Aires, Argentina"
33,571,,382,Mar del Plata,-57.5464388,-38.0429034,"12 de Octubre & Bermejo, Mar del Plata, Provincia de Buenos Aires, Argentina"
34,571,,211,Mar del Plata,-57.5464008,-38.0442365,"Magallanes & Figueroa Alcorta, Mar del Plata, Provincia de Buenos Aires, Argentina"
35,571,B Puerto,546,Mar del Plata,-57.5397985,-38.0132603,"Martín Miguel de Güemes & Alberti, Mar del Plata, Provincia de Buenos Aires, Argentina"
36,571,B Puerto,112,Mar del Plata,-57.533249,-38.0243633,"General Roca & Leandro N. Alem, Mar del Plata, Provincia de Buenos Aires, Argentina"
37,221,Santa Clara,364,Mar del Plata,-57.5698726,-38.1050888,"Ruta Provincial 11 & Calle 431 San Jacinto, Mar del Plata, Provincia de Buenos Aires, Argentina"
38,221,Santa Clara,493,Mar del Plata,-57.5584912,-38.0990638,"Diagonal Centro, Mar del Plata, Provincia de Buenos Aires, Argentina"
39,221,Santa Clara,274,Mar del Plata,-57.5388552,-38.0815723,"Avenida de los Trabajadores & Racedo, Mar del Plata, Provincia de Buenos Aires, Argentina"
40,221,Santa Clara,362,Mar del Plata,-57.5443845,-37.9813924,"Avenida Félix U. Camet & Río Negro, Mar del Plata, Provincia de Buenos Aires, Argentina"
41,221,Santa Clara,39,Mar del Plata,-57.5467061,-38.0634685,"Avenida de los Trabajadores & Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina"
42,221,Santa Clara,497,Mar del Plata,-57.5451502,-38.0583449,"Avenida de los Trabajadores & Vergara, Mar del Plata, Provincia de Buenos Aires, Argentina"
43,221,Santa Clara,277,Mar del Plata,-57.547044,-38.0538764,"Avenida de los Trabajadores & Avenida Vertiz, Mar del Plata, Provincia de Buenos Aires, Argentina"
44,221,Santa Clara,61,Mar del Plata,-57.5440553,-38.044661,"Avenida de los Trabajadores & 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina"
45,221,Santa Clara,708,Mar del Plata,-57.5423252,-38.0407029,"Avenida de los Trabajadores & Avenida Juan B. Justo, Mar del Plata, Provincia de Buenos Aires, Argentina"
46,221,Santa Clara,306,Mar del Plata,-57.5346001,-38.0298261,"Avenida Patricio Peralta Ramos & Formosa, Mar del Plata, Provincia de Buenos Aires, Argentina"
47,221,Santa Clara,308,Mar del Plata,-57.5310174,-38.0254904,"Avenida Patricio Peralta Ramos & General Roca, Mar del Plata, Provincia de Buenos Aires, Argentina"
48,221,Santa Clara,442,Mar del Plata,-57.5288615,-38.0245478,"Avellaneda 26 , Mar del Plata, Provincia de Buenos Aires, Argentina"
49,221,Santa Clara,381,Mar del Plata,-57.5255168,-38.0193099,"Cabo Corrientes Center, Mar del Plata, Provincia de Buenos Aires, Argentina"
50,221,Santa Clara,440,Mar del Plata,-57.5325835,-38.0127563,"Avenida Patricio Peralta Ramos, Mar del Plata, Provincia de Buenos Aires, Argentina"
51,221,Santa Clara,205,Mar del Plata,-57.5332108,-38.0086859,"Avenida Patricio Peralta Ramos & Viamonte, Mar del Plata, Provincia de Buenos Aires, Argentina"
52,221,Santa Clara,578,Mar del Plata,-57.5385752,-38.0082574,"Alsina 2100, Mar del Plata, Provincia de Buenos Aires, Argentina"
53,221,Santa Clara,108,Mar del Plata,-57.5423229,-38.0058564,"Avenida Patricio Peralta Ramos & Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina"
